index,section,title,method,uri
377,3.4.85,控制光模块Active指示灯状态,POST,https://device_ip/redfish/v1/Chassis/Chassis_id/Transceivers/transceivers_id/Actions/Transceiver.ControlIndicatorLED
378,3.4.86,查询智能调速算法配置生效状态资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/ThermalSubsystem/Oem/Huawei/Public/AlgorithmsEngine
379,3.4.87,导入智能调速算法相关配置,POST,https://device_ip/redfish/v1/Chassis/chassis_id/ThermalSubsystem/Oem/Huawei/Public/AlgorithmsEngine/Actions/AlgorithmsEngine.Import
380,3.4.88,恢复智能调速算法相关配置,POST,https://device_ip/redfish/v1/Chassis/chassis_id/ThermalSubsystem/Oem/Huawei/Public/AlgorithmsEngine/Actions/AlgorithmsEngine.ResetToDefaults
387,3.5.7,创建Web会话,POST,https://device_ip/redfish/v1/SessionService/Sessions
388,3.5.8,Web执行操作,,https://device_ip/redfish/v1/SessionService/Sessions
397,3.6.8,双因素认证的根证书导入,POST,https://device_ip/redfish/v1/AccountService/Oem/Huawei/Public/Actions/AccountService.ImportRootCertificate
398,3.6.9,双因素认证的根证书删除,POST,https://device_ip/redfish/v1/AccountService/Oem/Huawei/Public/Actions/AccountService.DeleteRootCertificate
401,3.6.12,双因素认证的客户端证书吊销列表导入,POST,https://device_ip/redfish/v1/AccountService/Oem/Huawei/Public/Actions/AccountService.ImportCrl
402,3.6.13,双因素认证的客户端证书吊销列表删除,POST,https://device_ip/redfish/v1/AccountService/Oem/Huawei/Public/Actions/AccountService.DeleteCrl
404,3.6.15,SSH公钥删除,POST,https://device_ip/redfish/v1/AccountService/Accounts/account_id/Oem/Huawei/Public/Actions/Account.DeleteSSHPublicKey
408,3.6.19,创建自定义角色,POST,https://device_ip/redfish/v1/AccountService/Roles
409,3.6.20,删除自定义角色,DELETE,https://device_ip/redfish/v1/AccountService/Roles/role_id
415,3.6.26,具体域控制器Ldap证书的导入,POST,https://device_ip/redfish/v1/AccountService/LdapService/LdapControllers/member_id/Actions/HwLdapController.ImportCert
416,3.6.27,具体域控制器Ldap服务器证书吊销列表导入,POST,https://device_ip/redfish/v1/AccountService/LdapService/LdapControllers/member_id/Actions/LdapController.ImportCrl
417,3.6.28,查询权限映射资源信息,GET,https://device_ip/redfish/v1/AccountService/PrivilegeMap
418,3.6.29,查询Kerberos服务资源,GET,https://device_ip/redfish/v1/AccountService/KerberosService
419,3.6.30,修改Kerberos功能开启使能,PATCH,https://device_ip/redfish/v1/AccountService/KerberosService
420,3.6.31,查询Kerberos域控制器集合信息,GET,https://device_ip/redfish/v1/AccountService/KerberosService/KerberosControllers
421,3.6.32,查询具体Kerberos域控制器的信息,GET,https://device_ip/redfish/v1/AccountService/KerberosService/KerberosControllers/member_id
422,3.6.33,修改具体Kerberos域控制器的信息,PATCH,https://device_ip/redfish/v1/AccountService/KerberosService/KerberosControllers/member_id
423,3.6.34,修改指定用户的密码,POST,https://device_ip/redfish/v1/AccountService/Accounts/member_id/Actions/ManagerAccount.ChangePassword
425,3.7.2,修改升级服务信息,PATCH,https://device_ip/redfish/v1/UpdateService
428,3.7.5,升级固件,POST,https://device_ip/redfish/v1/UpdateService/Actions/UpdateService.SimpleUpdate
432,3.7.9,生效暂存固件,POST,https://device_ip/redfish/v1/UpdateService/Actions/UpdateService.Activate
433,3.7.10,弃用暂存固件,POST,https://device_ip/redfish/v1/UpdateService/Actions/Oem/Huawei/UpdateService.DiscardStagedFirmwares
434,3.7.11,查询固件更新服务能力信息,GET,https://device_ip/redfish/v1/UpdateService/UpdateServiceCapabilities
435,3.7.12,升级固件整包,POST,https://device_ip/redfish/v1/UpdateService/Actions/Oem/Huawei/UpdateService.FullImageUpdate
436,3.7.13,Multipart 方式升级固件,POST,https://device_ip/redfish/v1/UpdateService/update-multipart
438,3.8.2,修改任务服务资源信息,PATCH,https://device_ip/redfish/v1/TaskService
456,3.9.13,恢复订阅事件信息,POST,https://device_ip/redfish/v1/EventService/Subscriptions/{id}/Actions/EventDestination.ResumeSubscription
457,3.9.14,暂停订阅事件信息,POST,https://device_ip/redfish/v1/EventService/Subscriptions/{id}/Actions/EventDestination.SuspendSubscription
458,3.10.1,查询升级服务资源,GET,https://device_ip/redfish/v1/Sms/1/UpdateService
459,3.10.2,带内升级软件/固件,POST,https://device_ip/redfish/v1/Sms/1/UpdateService/Actions/UpdateService.SimpleUpdate
460,3.10.3,查询升级进度,GET,https://device_ip/redfish/v1/Sms/1/UpdateService/Progress
461,3.10.4,查询带内升级软件集合资源信息,GET,https://device_ip/redfish/v1/Sms/1/UpdateService/SoftwareInventory
462,3.10.5,查询指定带内升级软件资源信息,GET,https://device_ip/redfish/v1/Sms/1/UpdateService/SoftwareInventory/{item}
463,3.10.6,查询带内升级固件集合资源信息,GET,https://device_ip/redfish/v1/Sms/1/UpdateService/FirmwareInventory
464,3.10.7,查询指定带内升级固件资源信息,GET,https://device_ip/redfish/v1/Sms/1/UpdateService/FirmwareInventory/{item}
465,3.10.8,异步升级操作,POST,http://device_ip/redfish/v1/Sms/1/UpdateService/Actions/UpdateService.AsynchronousUpdate
466,3.10.9,异步升级生效,POST,http://device_ip/redfish/v1/Sms/1/UpdateService/Actions/UpdateService.EffectiveUpdate
468,3.10.11,查询任务服务资源信息,GET,https://device_ip/redfish/v1/Sms/1/TaskService
469,3.10.12,查询任务集合资源信息,GET,https://device_ip/redfish/v1/Sms/1/TaskService/Tasks
470,3.10.13,查询指定任务资源信息,GET,https://device_ip/redfish/v1/Sms/1/TaskService/Tasks/taskid
471,3.10.14,收集日志资源,POST,http://device_ip/redfish/v1/Sms/1/Systems/1/LogServices/iBMA/Actions/LogService.CollectLog
472,3.10.15,带内事件上报,POST,http://device_ip/redfish/v1/Eventclient/Sms0
475,3.11.3,导出数据表,POST,https://device_ip/redfish/v1/DataAcquisitionService/Actions/HwDataAcquisitionService.ExportAcquisitionData
476,3.11.5,查询导出表,GET,https://device_ip/redfish/v1/TaskService/Tasks/task_id/Monitor
479,3.11.9,创建数据表格筛选任务,POST,https://device_ip/redfish/v1/DataAcquisitionService/Actions/HwDataAcquisitionService.DataFiltering
480,3.11.10,查询数据表筛选结果,GET,https://device_ip/redfish/v1/TaskService/Tasks/task_id/Monitor
487,3.12.7,生成CSR,POST,https://device_ip/redfish/v1/CertificateService/Actions/CertificateService.GenerateCSR
488,3.12.8,替换证书,POST,https://device_ip/redfish/v1/CertificateService/Actions/CertificateService.ReplaceCertificate
494,3.14.1,查询编排任务服务信息,GET,https://device_ip/redfish/v1/JobService
495,3.14.2,修改编排任务服务信息,PATCH,https://device_ip/redfish/v1/JobService
496,3.14.3,查询编排任务集合信息,GET,https://device_ip/redfish/v1/JobService/Jobs
497,3.14.4,创建编排任务,POST,https://device_ip/redfish/v1/JobService/Jobs
498,3.14.5,查询指定编排任务信息,GET,https://device_ip/redfish/v1/JobService/Jobs/job_id
499,3.14.6,修改指定编排任务信息,PATCH,https://device_ip/redfish/v1/JobService/Jobs/job_id
500,3.14.7,删除指定编排任务信息,DELETE,https://device_ip/redfish/v1/JobService/Jobs/job_id
527,3.16.7,查询LCN设备用户信息,GET,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Accounts
529,3.16.9,设置与指定LCN设备通信的内部网络,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Actions/LCN.SetInnerNetwork
530,3.16.10,设置指定LCN设备的网络接口,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Actions/LCN.SetNetworkInterface
531,3.16.11,创建指定LCN设备的用户,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Accounts/Actions/LCN.CreateAccount
532,3.16.12,删除指定LCN设备的用户,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Accounts/Actions/LCN.DeleteAccount
533,3.16.13,修改指定LCN设备的用户密码,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Accounts/Actions/LCN.ChangePassword
534,3.16.14,重启指定LCN设备,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Actions/LCNDevice.Reset
535,3.16.15,重启指定LCN设备并恢复默认出厂配置,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/Actions/LCNDevice.ResetToDefaults
536,3.16.16,查询指定LCN设备升级服务的资源信息,GET,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/UpdateService
537,3.16.17,升级指定LCN设备的系统软件,POST,https://device_ip/redfish/v1/Oem/Huawei/LCNService/LCNDevices/device_id/UpdateService/Actions/UpdateService.SimpleUpdate
538,3.17.1,查询可观测服务配置资源,GET,https://device_ip/redfish/v1/Oem/Huawei/Public/ObservabilityService
539,3.17.2,设置可观测服务配置资源,PATCH,https://device_ip/redfish/v1/Oem/Huawei/Public/ObservabilityService
540,3.17.3,发送可观测服务测试报文,POST,https://device_ip/redfish/v1/Oem/Huawei/Public/ObservabilityService/Actions/ObservabilityService.SubmitTestTelemetryData
541,3.18.1,查询电路集合资源信息,GET,https://device_ip/redfish/v1/PowerEquipment/PowerShelves/power_distribution_id/Mains
542,3.18.2,查询电路单个资源信息,GET,https://device_ip/redfish/v1/PowerEquipment/PowerShelves/power_distribution_id/Mains/circuit_id
543,3.19.1,查询组件完整性报告集合资源信息,GET,https://device_ip/redfish/v1/ComponentIntegrity
544,3.19.2,查询组件完整性报告单个资源信息,GET,https://device_ip/redfish/v1/ComponentIntegrity/component_integrity_id
