score,confidence,method_same,bmc_index,bmc_section,bmc_title,bmc_method,bmc_uri,podm_index,podm_section,podm_title,podm_method,podm_uri
1.0,high,True,23,3.2.10,下载BMC文件,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.GeneralDownload,29,4.2.15,下载BMC文件,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.GeneralDownload
1.0,high,True,24,3.2.11,进入最小系统,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.EnterRecoveryMode,31,4.2.17,进入最小系统,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.EnterRecoveryMode
1.0,high,True,25,3.2.12,查询虚拟媒体集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia,197,4.3.54,查询虚拟媒体集合资源,GET,/redfish/v1/Systems/{system_id}/VirtualMedia
1.0,high,True,26,3.2.13,查询虚拟媒体资源,GET,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia/CD,198,4.3.55,查询虚拟媒体资源,GET,/redfish/v1/Systems/{system_id}/VirtualMedia/CD
1.0,high,True,27,3.2.14,连接虚拟媒体,POST,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia/CD/Oem/Huawei/Public/Actions/VirtualMedia.VmmControl,200,4.3.57,连接虚拟媒体,POST,/redfish/v1/Systems/{system_id}/VirtualMedia/CD/Oem/HuaweiPublic/Actions/VirtualMedia.VmmControl
1.0,high,True,28,3.2.15,断开虚拟媒体,POST,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia/CD/Oem/Huawei/Public/Actions/VirtualMedia.VmmControl,201,4.3.58,断开虚拟媒体,POST,/redfish/v1/Systems/{system_id}/VirtualMedia/CD/Oem/HuaweiPublic/Actions/VirtualMedia.VmmControl
1.0,high,True,29,3.2.16,查询虚拟SP U盘资源,GET,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia/USBStick,202,4.3.59,查询虚拟SP U盘资源,GET,/redfish/v1/Systems/{system_id}/VirtualMedia/USBStick
0.7778,low,True,33,3.2.20,查询NTP配置资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/NtpService,33,4.2.19,查询NTP资源,GET,/redfish/v1/Managers/{manager_id}/NtpService
0.875,medium,True,34,3.2.21,修改NTP资源属性,PATCH,https://device_ip/redfish/v1/Managers/manager_id/NtpService,34,4.2.20,修改NTP资源,PATCH,/redfish/v1/Managers/{manager_id}/NtpService
0.6667,high,True,35,3.2.22,上传NTP组密钥,POST,https://device_ip/redfish/v1/Managers/manager_id/NtpService/Actions/NtpService.ImportNtpKey,35,4.2.21,导入NTP密钥,POST,/redfish/v1/Managers/{manager_id}/NtpService/Actions/NtpService.ImportNtpKey
0.9,high,True,36,3.2.23,查询SNMP资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SnmpService,36,4.2.22,查看SNMP资源信息,GET,/redfish/v1/Managers/{manager_id}/SnmpService
1.0,high,True,37,3.2.24,修改SNMP资源属性,PATCH,https://device_ip/redfish/v1/Managers/manager_id/SnmpService,37,4.2.23,修改SNMP资源属性,PATCH,/redfish/v1/Managers/{manager_id}/SnmpService
1.0,high,True,38,3.2.25,修改指定用户SNMP v3加密密码,POST,https://device_ip/redfish/v1/Managers/manager_id/SnmpService/Actions/SnmpService.ConfigSnmpV3PrivPasswd,38,4.2.24,修改指定用户SNMP v3加密密码（未实现）,POST,/redfish/v1/Managers/{manager_id}/SnmpService/Actions/SnmpService.ConfigSnmpV3PrivPasswd
1.0,high,True,39,3.2.26,SNMP发送测试事件,POST,https://device_ip/redfish/v1/Managers/manager_id/SnmpService/Actions/SnmpService.SubmitTestEvent,39,4.2.25,SNMP发送测试事件,POST,/redfish/v1/Managers/{manager_id}/SnmpService/Actions/SnmpService.SubmitTestEvent
1.0,high,True,44,3.2.31,查询Syslog资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SyslogService,58,4.2.44,查询Syslog资源信息,GET,/redfish/v1/Managers/{manager_id}/SyslogService
0.9231,high,True,45,3.2.32,修改指定Syslog资源信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id/SyslogService,59,4.2.45,修改Syslog资源信息,PATCH,/redfish/v1/Managers/{manager_id}/SyslogService
1.0,high,True,51,3.2.38,查询KVM资源,GET,https://device_ip/redfish/v1/Managers/manager_id/KvmService,203,4.3.60,查询KVM资源,GET,/redfish/v1/Systems/{system_id}/KvmService
1.0,high,True,52,3.2.39,修改KVM资源属性,PATCH,https://device_ip/redfish/v1/Managers/manager_id/KvmService,205,4.3.62,修改KVM资源属性,PATCH,/redfish/v1/Systems/{system_id}/KvmService
1.0,high,True,53,3.2.40,设置KVM Key,POST,https://device_ip/redfish/v1/Managers/manager_id/KvmService/Actions/KvmService.SetKvmKey,204,4.3.61,设置KVM Key,POST,/redfish/v1/Systems/{system_id}/KvmService/Actions/KvmService.SetKvmKey
0.4571,high,True,54,3.2.41,查询iBMCBMC网口集合资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/EthernetInterfaces,46,4.2.32,查询PoDManager网卡集合信息,GET,/redfish/v1/Managers/{manager_id}/EthernetInterfaces
0.4,high,True,55,3.2.42,查询指定iBMCBMC网口资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/EthernetInterfaces/ethernetinterface_id,47,4.2.33,查询PoDManager指定网卡信息,GET,/redfish/v1/Managers/{manager_id}/EthernetInterfaces/{ethernetinterface_id}
0.4848,high,True,56,3.2.43,修改指定iBMCBMC网口信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id/EthernetInterfaces/ethernetinterface_id,48,4.2.34,修改指定PoDManager网卡信息,PATCH,/redfish/v1/Managers/{manager_id}/EthernetInterfaces/{ethernetinterface_id}
0.4828,high,True,57,3.2.44,查询iBMCBMC服务信息,GET,https://device_ip/redfish/v1/Managers/manager_id/NetworkProtocol,49,4.2.35,查询PoDManager服务信息,GET,/redfish/v1/Managers/{manager_id}/NetworkProtocol
0.4828,high,True,58,3.2.45,修改iBMCBMC服务信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id/NetworkProtocol,50,4.2.36,修改PoDManager服务信息,PATCH,/redfish/v1/Managers/{manager_id}/NetworkProtocol
0.8,low,True,59,3.2.46,重启iBMCBMC,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Manager.Reset,51,4.2.37,重启iBMC,POST,/redfish/v1/Managers/{manager_id}/Actions/Manager.Reset
0.4,medium,True,60,3.2.47,切换iBMCBMC镜像,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.RollBack,52,4.2.38,切换PoDManager镜像,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.RollBack
1.0,high,True,61,3.2.48,查询安全服务集合资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SecurityService,54,4.2.40,查询安全服务集合资源信息,GET,/redfish/v1/Managers/{manager_id}/SecurityService
1.0,high,True,62,3.2.49,修改安全服务集合资源信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id/SecurityService,55,4.2.41,修改安全服务集合资源信息,PATCH,/redfish/v1/Managers/{manager_id}/SecurityService
1.0,high,True,65,3.2.52,更新系统主密钥,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/Actions/SecurityService.UpdateMasterKey,368,4.10.3.8.2,更新系统主密钥,POST,/redfish/v1/Managers/manager_id/SecurityService/Actions/SecurityService.UpdateMasterKey
0.7778,high,True,69,3.2.56,查询SSL证书资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/HttpsCert,349,4.10.3.5.2,查询SSL证书,GET,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert
0.6,high,True,70,3.2.57,生成CSR,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.GenerateCSR,350,4.10.3.5.3,CSR生成,POST,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.GenerateCSR
0.6,high,True,71,3.2.58,导出CSR,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ExportCSR,351,4.10.3.5.4,CSR导出,POST,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ExportCSR
0.8235,low,True,72,3.2.59,导入服务器证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ImportServerCertificate,352,4.10.3.5.5,导入SSL服务器证书,POST,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ImportServerCertificate
0.8235,low,True,73,3.2.60,导入自定义证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ImportCustomCertificate,348,4.10.3.5.1,导入SSL自定义证书,POST,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ImportCustomCertificate
1.0,high,True,74,3.2.61,查询SSL证书更新服务资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/ CertUpdateService,334,4.10.3.2.7,查询SSL证书更新服务资源信息,GET,/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService
1.0,high,True,75,3.2.62,修改SSL证书更新服务资源信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService,335,4.10.3.2.8,修改SSL证书更新服务资源信息,PATCH,/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService
0.25,high,True,80,3.2.67,更新BMC证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService/Actions/CertUpdateService.UpdateCertFromCA,353,4.10.3.5.6,SSL证书在线更新,POST,/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService/Actions/CertUpdateService.UpdateCertFromCA
1.0,high,True,81,3.2.68,查询VNC资源,GET,https://device_ip/redfish/v1/Managers/manager_id/VncService,206,4.3.63,查询VNC资源,GET,/redfish/v1/Systems/{system_id}/VncService
1.0,high,True,82,3.2.69,修改VNC资源属性,PATCH,https://device_ip/redfish/v1/Managers/manager_id/VNCService,207,4.3.64,修改VNC资源属性,PATCH,/redfish/v1/Systems/{system_id}/VncService
1.0,high,True,83,3.2.70,查询SP服务资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService,60,4.2.46,查询SP服务资源,GET,/redfish/v1/Managers/{manager_id}/SPService
1.0,high,True,84,3.2.71,修改SP服务资源属性,PATCH,https://device_ip/redfish/v1/Managers/manager_id/SPService,61,4.2.47,修改SP服务资源属性,PATCH,/redfish/v1/Managers/{manager_id}/SPService
1.0,high,True,85,3.2.72,删除SP服务的升级文件或者配置文件,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/Actions/SPService.DeleteFile,62,4.2.48,删除SP服务的升级文件或者配置文件,POST,/redfish/v1/Managers/{manager_id}/SPService/Actions/SPService.DeleteFile
1.0,high,True,86,3.2.73,触发导出SP服务的RAID当前配置,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/Actions/SPService.ExportSPRAIDConfigurations,63,4.2.49,触发导出SP服务的RAID当前配置,POST,/redfish/v1/Managers/{manager_id}/SPService/Actions/SPService.ExportSPRAIDConfigurations
1.0,high,True,87,3.2.74,更新SP相关的schema文件,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/Actions/SPService.UpdateSchemaFiles,64,4.2.50,更新SP相关的schema文件,POST,/redfish/v1/Managers/{manager_id}/SPService/Actions/SPService.UpdateSchemaFiles
1.0,high,True,88,3.2.75,收集SP相关的日志信息,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/Actions/SPService.Dump,65,4.2.51,收集SP相关的日志信息,POST,/redfish/v1/Managers/{manager_id}/SPService/Actions/SPService.Dump
1.0,high,True,89,3.2.76,查询SP服务的OS安装配置集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPOSInstallPara,66,4.2.52,查询SP服务的OS安装配置集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPOSInstallPara
1.0,high,True,90,3.2.77,创建SP服务的OS安装配置,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPOSInstallPara,67,4.2.53,创建SP服务的OS安装配置,POST,/redfish/v1/Managers/{manager_id}/SPService/SPOSInstallPara
1.0,high,True,91,3.2.78,查询SP服务的OS安装配置资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPOSInstallPara/osid,68,4.2.54,查询SP服务的OS安装配置资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPOSInstallPara/{osid}
1.0,high,True,92,3.2.79,查询SP服务的升级集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPFWUpdate,69,4.2.55,查询SP服务的升级集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPFWUpdate
1.0,high,True,93,3.2.80,查询SP服务的升级资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPFWUpdate/updateid,70,4.2.56,查询SP服务的升级资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPFWUpdate/{updateid}
1.0,high,True,94,3.2.81,升级SP或者升级固件,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPFWUpdate/update_id/Actions/SPFWUpdate.SimpleUpdate,71,4.2.57,升级SP或者升级固件,POST,/redfish/v1/Managers/{manager_id}/SPService/SPFWUpdate/{updateid}/Actions/SPFWUpdate.SimpleUpdate
1.0,high,True,95,3.2.82,查询SP服务的硬件信息资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/DeviceInfo,72,4.2.58,查询SP服务的硬件信息资源,GET,/redfish/v1/Managers/{manager_id}/SPService/DeviceInfo
1.0,high,True,96,3.2.83,查询SP服务的配置结果集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPResult,73,4.2.59,查询SP服务的配置结果集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPResult
1.0,high,True,97,3.2.84,查询SP服务的配置结果资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPResult/result_id,74,4.2.60,查询SP服务的配置结果资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPResult/{result_id}
1.0,high,True,98,3.2.85,查询SP服务的配置信息集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPCfg,75,4.2.61,查询SP服务的配置信息集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPCfg
1.0,high,True,99,3.2.86,查询SP服务的配置信息资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPCfg/cfg_id,76,4.2.62,查询SP服务的配置信息资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPCfg/{cfg_id}
1.0,high,True,100,3.2.87,查询SP服务的诊断配置集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPDiagnose,77,4.2.63,查询SP服务的诊断配置集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPDiagnose
1.0,high,True,101,3.2.88,创建SP服务的诊断配置,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPDiagnose,78,4.2.64,创建SP服务的诊断配置,POST,/redfish/v1/Managers/{manager_id}/SPService/SPDiagnose
1.0,high,True,102,3.2.89,查询SP服务的诊断配置资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPDiagnose/1,79,4.2.65,查询SP服务的诊断配置资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPDiagnose/1
1.0,high,True,103,3.2.90,查询SP服务的硬盘擦除配置集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPDriveErase,80,4.2.66,查询SP服务的硬盘擦除配置集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPDriveErase
1.0,high,True,104,3.2.91,创建SP服务的硬盘擦除配置,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPDriveErase,81,4.2.67,创建SP服务的硬盘擦除配置,POST,/redfish/v1/Managers/{manager_id}/SPService/SPDriveErase
1.0,high,True,105,3.2.92,查询SP服务的硬盘擦除配置资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SPDriveErase/1,82,4.2.68,查询SP服务的硬盘擦除配置资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SPDriveErase/1
1.0,high,True,106,3.2.93,查询SP系统擦除配置集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SystemErase,83,4.2.69,查询SP系统擦除配置集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/SystemErase
1.0,high,True,107,3.2.94,创建SP系统擦除配置,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/SystemErase,84,4.2.70,创建SP系统擦除配置,POST,/redfish/v1/Managers/{manager_id}/SPService/SystemErase
1.0,high,True,108,3.2.95,查询指定SP系统擦除配置,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/SystemErase/member_id,85,4.2.71,查询指定SP系统擦除配置,GET,/redfish/v1/Managers/{manager_id}/SPService/SystemErase/{member_id}
1.0,high,True,109,3.2.96,查询SP插件集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService/Plugins,88,4.2.74,查询SP插件集合资源,GET,/redfish/v1/Managers/{manager_id}/SPService/Plugins
1.0,high,True,110,3.2.97,查询SP插件资源,GET,https://device_ip/redfish/v1/Managers/manager_id/SPService//Plugins/plugin_id,89,4.2.75,查询SP插件资源,GET,/redfish/v1/Managers/{manager_id}/SPService/Plugins/{plugin_id}
1.0,high,True,111,3.2.98,安装SP插件,POST,https://device_ip/redfish/v1/Managers/manager_id/SPService/Plugins,87,4.2.73,安装SP插件,POST,/redfish/v1/Managers/{manager_id}/SPService/Plugins
1.0,high,True,112,3.2.99,删除SP插件资源,DELETE,https://device_ip/redfish/v1/Managers/manager_id/SPService//Plugins/plugin_id,90,4.2.76,删除SP插件资源,DELETE,/redfish/v1/Managers/{manager_id}/SPService/Plugins/{plugin_id}
1.0,high,True,113,3.2.100,查询诊断服务资源,GET,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService,91,4.2.77,查询诊断服务资源,GET,/redfish/v1/Managers/{manager_id}/DiagnosticService
1.0,high,True,114,3.2.101,修改诊断服务资源,PATCH,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService,92,4.2.78,修改诊断服务资源,PATCH,/redfish/v1/Managers/{manager_id}/DiagnosticService
1.0,high,True,115,3.2.102,停止录像回放,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.StopVideoPlayback,93,4.2.79,停止录像回放,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.StopVideoPlayback
1.0,high,True,116,3.2.103,导出录像,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.ExportVideo,94,4.2.80,导出录像,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.ExportVideo
0.5,high,True,117,3.2.104,截屏,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.CaptureScreenShot,95,4.2.81,截图,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.CaptureScreenShot
1.0,high,True,118,3.2.105,删除截屏,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.DeleteScreenShot,96,4.2.82,删除截屏,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.DeleteScreenShot
1.0,high,True,119,3.2.106,导出黑匣子,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.ExportBlackBox,97,4.2.83,导出黑匣子,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.ExportBlackBox
1.0,high,True,120,3.2.107,导出串口数据,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.ExportSerialPortData,98,4.2.84,导出串口数据,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.ExportSerialPortData
1.0,high,True,121,3.2.108,导出NPU日志,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.ExportNPULog,99,4.2.85,导出NPU日志,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.ExportNPULog
1.0,high,True,122,3.2.109,导出NPU运行日志,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.ExportNPUDeviceLog,100,4.2.86,导出NPU运行日志,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.ExportNPUDeviceLog
1.0,high,True,124,3.2.111,添加工作记录,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/WorkRecord/Actions/WorkRecord.AddRecord,101,4.2.87,添加工作记录,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/WorkRecord/Actions/WorkRecord.AddRecord
1.0,high,True,125,3.2.112,删除工作记录,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/WorkRecord/Actions/WorkRecord.DeleteRecord,102,4.2.88,删除工作记录,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/WorkRecord/Actions/WorkRecord.DeleteRecord
1.0,high,True,126,3.2.113,修改工作记录,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/WorkRecord/Actions/WorkRecord.ModifyRecord,103,4.2.89,修改工作记录,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/WorkRecord/Actions/WorkRecord.ModifyRecord
1.0,high,True,127,3.2.114,查询日志服务集合资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/LogServices,108,4.2.94,查询日志服务集合资源信息,GET,/redfish/v1/Managers/{manager_id}/LogServices
1.0,high,True,128,3.2.115,查询指定日志服务资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/LogServices/logservices_id,109,4.2.95,查询指定日志服务资源信息,GET,/redfish/v1/Managers/{manager_id}/LogServices/{logservices_id}
1.0,high,True,129,3.2.116,导出日志信息,POST,https://device_ip/redfish/v1/Managers/manager_id/LogServices/logservice_id/Actions/Oem/Huawei/Public/LogService.ExportLog,110,4.2.96,导出日志信息,POST,/redfish/v1/Managers/{manager_id}/LogServices/{logservices_id}/Actions/Oem/HuaweiPublic/LogService.ExportLog
1.0,high,True,130,3.2.117,查询日志集合资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/LogServices/logservice_id/Entries,56,4.2.42,查询日志集合资源信息,GET,/redfish/v1/Managers/{manager_id}/LogServices/{logservices_id}/Entries
1.0,high,True,131,3.2.118,查询日志资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/LogServices/LogService_id/Entries/Entries_id,57,4.2.43,查询日志资源信息,GET,/redfish/v1/Managers/{manager_id}/LogServices/{logservices_id}/Entries/{Entries_id}
1.0,high,True,137,3.2.124,查询FDMService服务资源,GET,https://device_ip/redfish/v1/Managers/manager_id/FDMService,116,4.2.102,查询FDMService服务资源,GET,/redfish/v1/Managers/{manager_id}/FDMService
1.0,high,True,138,3.2.125,修改FDMService服务资源属性,PATCH,https://device_ip/redfish/v1/Managers/manager_id/FDMService,117,4.2.103,修改FDMService服务资源属性,PATCH,/redfish/v1/Managers/{manager_id}/FDMService
1.0,high,True,142,3.2.129,查询LLDP服务资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/LldpService,40,4.2.26,查询LLDP服务资源信息,GET,/redfish/v1/Managers/{manager_id}/LldpService
1.0,high,True,143,3.2.130,修改LLDP服务资源信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id/LldpService,41,4.2.27,修改LLDP服务资源信息,PATCH,/redfish/v1/Managers/{manager_id}/LldpService
1.0,high,True,144,3.2.131,查询SMS服务资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SmsService,42,4.2.28,查询SMS服务资源信息,GET,/redfish/v1/Managers/{manager_id}/SmsService
